133	10000	6168476	6243750.92	6319919
134	10000	6312397	6385983.44	6478391
135	10000	6447107	6530182.47	6608103
136	10000	6583776	6676706.12	6756180
137	10000	6742757	6824887.20	6897193
138	10000	6898893	6976197.92	7051184
139	10000	7043464	7128850.08	7216711
140	10000	7197902	7284226.37	7372848
141	10000	7360377	7441569.99	7528067
142	10000	7508047	7601929.55	7682058
143	10000	7681276	7763897.85	7861101
144	10000	7833576	7927628.73	8015496
145	10000	8006919	8094434.44	8191412
146	10000	8169658	8263339.99	8355141
147	10000	8338320	8434707.89	8525583
148	10000	8506875	8607871.42	8706924
149	10000	8689783	8783975.00	8889593
150	10000	8862786	8962434.58	9053975
151	10000	9041371	9142741.68	9245605
152	10000	9227477	9326535.84	9431209
153	10000	9402301	9511661.69	9608644
154	10000	9588773	9699921.73	9796761
155	10000	9763235	9889776.10	9981550
156	10000	9963392	10082499.20	10188822
157	10000	10168615	10278620.62	10391729
158	10000	10366323	10475660.27	10575760

