176	10000	14350411	14486340.78	14633912
177	10000	14597164	14734261.45	14881268
178	10000	14842697	14985471.84	15112388
179	10000	15101971	15241077.92	15378194
180	10000	15337744	15497713.83	15644444
181	10000	15627541	15757817.52	15897181
182	10000	15885819	16020484.84	16172284
183	10000	16134773	16286214.90	16430603
184	10000	16422576	16555533.19	16708863
185	10000	16665344	16826823.74	16980843
186	10000	16933498	17101277.07	17254554
187	10000	17210954	17379672.15	17529957
188	10000	17501370	17659976.76	17822311

