159	10000	10566634	10676509.79	10790123
160	10000	10763329	10879718.45	10993981
161	10000	10961193	11085786.62	11195952
162	10000	11181795	11293273.43	11409295
163	10000	11388335	11504473.75	11626702
164	10000	11615184	11717752.42	11825635
165	10000	11794470	11933590.82	12084154
166	10000	12017604	12152246.25	12265978
167	10000	12248281	12373462.87	12484999
168	10000	12477641	12597235.84	12742744
169	10000	12689011	12823153.64	12952155
170	10000	12903262	13052358.53	13162556
171	10000	13163590	13284963.24	13420669
172	10000	13374168	13519189.10	13653021
173	10000	13611677	13756836.54	13889526
174	10000	13869729	13997025.99	14131446
175	10000	14104420	14240700.30	14365800

